custom-tailored;maßgeschneidert
to incorporate;einarbeiten
to subdue;unterdrücken
to add sth.;etw. anhängen
to endorse sb./sth.;jdn./etw. unterstützen [durch Zustimmung, Empfehlung]
to subvert;untergraben
to perish;umkommen
to segregate;trennen
scum [coll. pej. when fig.];Abschaum {m} [wenn fig., dann pej.]
occasionally;hin und wieder
resolve [determination];Entschlossenheit {f}
accordingly;dementsprechend
cosmopolitan;weltoffen
applied;angewandt
to revise;überarbeiten
employment permit;Arbeitserlaubnis {f}
darn [coll.];verdammt [salopp pej.]
contemporary [up to date, modern];zeitgemäß
to retrieve sth. [information, data];etw. wiederherstellen
to admit [confess];eingestehen
soubriquet;Spitzname {m}
to acknowledge [admit, confess];eingestehen
obedience;Gehorsam {m}
maggots;Maden {pl}
plaintiff;Kläger {m}
revenue;Umsatz {m} [im amerik. Sprachgebrauch]
however;doch
prescription;Verjährung {f}
derivation;Herkunft {f}
to suppose;vermuten
to deviate [differ];abweichen [sich entfernen, unterscheiden]
reprisal;Vergeltungsmaßnahme {f}
proponent;Befürworter {m}
trinkets {pl} [small objects of little value];Nippes {m} [Nippesfiguren]
relentless;unerbittlich
harassment;Belästigung {f}
to dismember sth. [esp. a body];etw. [Akk.] zerlegen [zerstückeln] [bes. eine Leiche]
solely;ausschließlich
capable;fähig
wreath;Kranz {m}
elation;Euphorie {f}
mutual [common];gemeinsam
to convulse;erschüttern
dire;fatal [verhängnisvoll]
germs;Bakterien {pl}
severe;ernst
toddler;Kleinkind {n}
to fault;bemängeln
to accomplish;vollbringen
to welcome sb.;jdn. begrüßen
to inhibit;hemmen
center back [Am.];Mittelläufer {m} [Fußball]
to match [go together];zusammenpassen
to loom;sich abzeichnen
to fathom [comprehend];begreifen
to appall [Am.];empören
forfeiture;Verlust {m}
fierce;heftig
subsequently;anschließend
stricken [ship, aircraft];havariert
to apply;anwendbar sein
slur;Beleidigung {f}
entitled to inherit;erbberechtigt
scoop [coll.];Knüller {m} [ugs.]
guilty;schuldig
apparently;anscheinend
offensive;beleidigend
to lament;beklagen
commencement [graduation ceremony];Abschlussfeier {f}
devout;fromm
to resume;fortsetzen
to splice sth.;etw. verbinden [zusammenfügen]
beyond expression;unaussprechlich
to lull;beruhigen
toil;Mühe {f}
abdication;Verzicht {m} [Amt, Macht]
manner;Gewohnheit {f}
glove compartment;Handschuhfach {n}
manger;Krippe {f} [auch bibl.]
elaborate [cooking, ceremony, design];aufwendig
to emerge unscathed;ungeschoren davonkommen
racket [coll.] [dishonest business];Schwindel {m} [ugs.]
pitfall [also fig.];Falle {f} [auch fig.]
contagious diseases;Infektionskrankheiten {pl}
degree dissertation;Diplomarbeit {f}
mandatory;verpflichtend
advertisement campaign;Anzeigenkampagne {f}
to despise sb./sth.;jdn./etw. verachten
self-sufficiency;wirtschaftliche Unabhängigkeit {f}
compliance (with sth.) [adherence (to), observance (of)];Einhaltung {f} etw. [Gen.]
affiliation;Verbindung {f} [Verbund, Angliederung, Zugehörigkeit]
